STEP,POPULATION,HEALTHY,VACCINATED HEALTHY,UNVACCINATED HEALTHY,INFECTED,VACCINATED INFECTED,UNVACCINATED INFECTED,DEATHS FROM INFECTION,DEATHS VACCINATED,DEATHS UNVACCINATED,DEATHS FROM OLD AGE
369,4678,4517,2468,2049,161,14,147,10267,1233,9034,0
370,4664,4518,2469,2049,146,11,135,10281,1235,9046,0
371,4656,4513,2468,2045,143,11,132,10289,1236,9053,0
372,4646,4508,2468,2040,138,10,128,10299,1237,9062,0
373,4633,4509,2468,2041,124,10,114,10312,1237,9075,0
374,4624,4502,2467,2035,122,10,112,10321,1238,9083,0
375,4616,4490,2467,2023,126,9,117,10329,1239,9090,0
376,4605,4482,2466,2016,123,8,115,10340,1241,9099,0
377,4594,4472,2466,2006,122,7,115,10351,1242,9109,0
378,4587,4465,2466,1999,122,7,115,10358,1242,9116,0
379,4580,4461,2466,1995,119,7,112,10365,1242,9123,0
380,4570,4450,2466,1984,120,7,113,10375,1242,9133,0
381,4564,4443,2466,1977,121,6,115,10381,1243,9138,0
382,4557,4433,2466,1967,124,6,118,10388,1243,9145,0
383,4551,4428,2466,1962,123,6,117,10394,1243,9151,0
384,4549,4422,2465,1957,127,7,120,10396,1243,9153,0
385,4544,4414,2464,1950,130,7,123,10401,1244,9157,0
386,4539,4410,2465,1945,129,6,123,10406,1244,9162,0
387,4531,4409,2464,1945,122,6,116,10414,1245,9169,0
388,4527,4405,2463,1942,122,7,115,10418,1245,9173,0
389,4522,4399,2462,1937,123,8,115,10423,1245,9178,0
390,4514,4394,2461,1933,120,9,111,10431,1245,9186,0
391,4506,4387,2459,1928,119,10,109,10439,1246,9193,0
392,4498,4383,2459,1924,115,7,108,10447,1249,9198,0
393,4491,4375,2459,1916,116,7,109,10454,1249,9205,0
394,4483,4367,2457,1910,116,9,107,10462,1249,9213,0
395,4474,4359,2457,1902,115,9,106,10471,1249,9222,0
396,4467,4355,2456,1899,112,10,102,10478,1249,9229,0
397,4460,4349,2456,1893,111,10,101,10485,1249,9236,0
398,4451,4346,2456,1890,105,10,95,10494,1249,9245,0
399,4441,4341,2455,1886,100,11,89,10504,1249,9255,0
400,4434,4338,2453,1885,96,13,83,10511,1249,9262,0
401,4430,4330,2453,1877,100,13,87,10515,1249,9266,0
402,4423,4326,2453,1873,97,13,84,10522,1249,9273,0
403,4415,4324,2454,1870,91,11,80,10530,1250,9280,0
404,4406,4319,2454,1865,87,10,77,10539,1251,9288,0
405,4398,4313,2454,1859,85,7,78,10547,1254,9293,0
406,4390,4311,2454,1857,79,7,72,10555,1254,9301,0
407,4388,4302,2454,1848,86,6,80,10557,1255,9302,0
408,4382,4297,2454,1843,85,6,79,10563,1255,9308,0
409,4377,4289,2451,1838,88,8,80,10568,1256,9312,0
410,4370,4276,2451,1825,94,7,87,10575,1257,9318,0
411,4367,4269,2449,1820,98,9,89,10578,1257,9321,0
412,4362,4262,2448,1814,100,10,90,10583,1257,9326,0
413,4355,4257,2446,1811,98,10,88,10590,1259,9331,0
414,4349,4257,2445,1812,92,9,83,10596,1261,9335,0
415,4343,4251,2445,1806,92,9,83,10602,1261,9341,0
416,4336,4243,2443,1800,93,10,83,10609,1262,9347,0
417,4332,4240,2442,1798,92,10,82,10613,1263,9350,0
418,4327,4237,2442,1795,90,10,80,10618,1263,9355,0
419,4320,4234,2442,1792,86,9,77,10625,1264,9361,0
420,4315,4232,2442,1790,83,9,74,10630,1264,9366,0
421,4308,4232,2442,1790,76,9,67,10637,1264,9373,0
422,4306,4231,2441,1790,75,10,65,10639,1264,9375,0
423,4304,4232,2441,1791,72,10,62,10641,1264,9377,0
424,4295,4231,2440,1791,64,11,53,10650,1264,9386,0
425,4289,4229,2439,1790,60,10,50,10656,1266,9390,0
426,4288,4230,2438,1792,58,11,47,10657,1266,9391,0
427,4283,4227,2436,1791,56,13,43,10662,1266,9396,0
428,4278,4225,2435,1790,53,12,41,10667,1268,9399,0
429,4275,4223,2435,1788,52,11,41,10670,1269,9401,0
